文件名	360网盘密码	AZW3格式(推荐)	EPUB格式	MOBI格式	PDF格式	城通网盘(备份)	天翼云盘(推荐)	天翼云盘密码	微软云盘	百度网盘	百度网盘密码
《九州·轮回之悸》		http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_C190C23C9D8E8D2EA26D3932A538074969B92DE080D02CDF7AAE224377E78AB28187D6AADE824459AAA330B619FCBF82919806DFA585B4D78782445745A5DE880AA8EA96CD032FF0554D684FA83B2197E618F925B321265399E0F506E5C9B43AE9FB85DCBE1BA81C43E11EDAD2F2B3FE6DBC11430E1DA9EE6071899474D8F03C92594698	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_0C3CF15496C51193B61B6E24791F441F16EE04D056D8DA08B906027D66541B63E6F7E0CB927CB3ED4949F724538FCDA4822D1229EBD0A6B2A95184970B29D40C0D28E2EAD11DC8E392CDCF8E9AA020E3EBDC150BCF7508940EAE35A31C554F08FA5D8C4C0050F73015993BF3C8DF2036D1B6BCB4D5161F6EE976B4A89CB9551204567BEE	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_F488E6D1560D9736130FF0D538FF353A4C8CD296191E6CEBBFE60631A0280277D078225AB5112147BAD9A5C77AB0CDA4479010DC4110114FC94E175AA2D816C066DD98C92BD04776A6D40774C8D79F6AE7DDF364A53B2601454F65F556317614A8E30F3BD89FB4149B603F318188B73965B0F339ADDA40EB0EAF6D68D1E871C74E48988D			http://cloud.189.cn/t/MNFjUjYnMnQr 	4255		http://pan.baidu.com/s/1gf2wRF9 	tkkk	
《九州·云之彼岸》		http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_C6B9D57445454B78ED61681E44387CE1368EB2294B1FCE469369374EF95257466E17C34676B2C8142232946027C20DB05E021ADCFE263393527D4EC3A997234580E4DDE160492052DB67D09A732971A9EA39C36EE496ABC3B0512DA0410AB3106BA351C8E3A531D6A2113F23E1EF582AAAADC4C2B9A7DBC4F788E2F286D98AFEE62A9728	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_ED01746CA34AA31083BAED34BD2329AE84AF2E0B83A0798DA791063A39FF93F1D9F56070B96C2FC8171458B2AF06E3AB2184F0A40A390C9C6B642FBB148A210C7BF350713EBDBB993117BBE652E5BB677E9A4C021F22CCA6A5359CBA0248FCDA60A63F1CF728E5426808AA4B0958EFF55612A679795082958C16497D8D94A96206F8C8C0	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_0F4E89ADEA27A20F33A25F3142523DAB49F6C4E2B2610227BB03E353165E000DE3650FF2024C377CEA6AF8E0D3BF2226BB9FDF892CCF8DEB093E0FABAD6F44DC7E3B07D6F02CA8852D91117793681850F237FB425F2CDBE5E7613B46E4C1F03C83B313BD1A8A94AE32F11EA0897C846398225FE230DFF5565A09B92D8FEB4D223765A247			http://cloud.189.cn/t/UjYj2uFjaqiu	9132		http://pan.baidu.com/s/1kV8uzg7	f24e	
《九州·龙痕》		http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_E9B9C02C388C0B8CB900A5AC97964E5365F679EDE90E0B66770F8CAFBB950D3446965116EE8BBED539A1C04AB716E01893BC34CE55B52B37FB262E4CD1E0683BEC8D31E3533447C4CA7AA32AD18D0E9BF5259E9BDE7AE8B3A015A9EF37937503E2A66DD75B2AD411BE1865D972BDA2EB70E8146A006FD79AB7B1B32CBB9520038A6432D8	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_D2E32C130AAE60713952EEF9A7FD9703881AAC75CAC2C2D652E3397A64624A5E57C55A3B97D7D2954E6D47A21405127A79570F2FFDBE8AD721C1747348EF5FEFD2B7E01A33E7FE12839DC1F53724D9C7EE51FCF7BEE8174BCF15183E3F75D235541FB0CECC03DCBE5C16D604ABDC751DCC7EAC524086478AEFDCB9E0C4476A1CA4164DF7	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_8273766548B47AA185A63317E5778DF60AB6C68ADB03435573F095BF3DF229367F64406E8902F842F4326CE3DE5A293C21BD021E0D0C987A12AA8720E4A8C517EA1810551727232B6EC46E712389DE9F6A5136E1D4D15BFC45D3093147B7E52CBCB38E12F2F8921E0DB32F764ADB63C084FBCED26AF59F8E971389AE00054D6E1610467F			http://cloud.189.cn/t/IJV3a2eeyyMn 	7113		http://pan.baidu.com/s/1dFBo4r3 	yybe	
《新宋（多看精校版，三部全）》			http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_B89CC35164EE34DFA8D2F688BFF882D3CAEC6D74B5BBE5620D06187B73A73C9C3E5B7B20ACEDF037F592F7987779308A8A8510185B95F316D014BAD24FA11A81ACE3556DA7EFDDD4D783CB26E8507060DA246394726BA4CD10A8263A175B57D58BB63F87EF7F12C54B5BB219C01A35D825B2306B6D355729A0F671A06AC9F039D2352880							http://pan.baidu.com/s/1jIhsdwi 	sphh	
《九州·星痕》			http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_A334929DDB10CB1A8F90DE3D7871C5FFAEF1B332857F31B680CFAC1ED7D3933C1685DCF92A44F21DFD4A8AE612C1F71183C106B03B5BE8BD3960AD7384A34F042855C0754B3CB5D58E95B3C6317AD65957CB0B9D604735602E81D46D95DE4E5F123FA10FF78DD8B086F8E036E289389827F340AE39F85E9C7D0E2B724591205BCB6BDEEA	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_F40D395FE485AAB52CA368FCAE90F76DAEF650AB19FC6D1F75A86C85A49B2FF93D86EACE38930148DF60C1B5E84900C882B1804FE4BB79D3F4E893C481C1918196671D5C911FED807BB9E375A0F08A389E64F6D47EB85CA2D52C217C48C4A2D3AAED8ACF03DBEA5789906710C9A0CF1EB5F0B42CC0DCE907B2494E82510D213FDD2DCC6E			http://cloud.189.cn/t/BBVBrubAV7Jv 	4558		http://pan.baidu.com/s/1nvvzd8l 	bw4b	
《香色倾城》			http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_F222A9FAF0700ABF852BB147583863FAFBE645C6DBD8421A2EC74FA072D661EE47F6821C4C26CF2D74063D070E2D5D18D573E90B5CFD5C60847A34C1A04F1F4FD88E81E8459A32C29316D61D3CCA881D4539B9037FE5D3300DAE579F4D610CB8EC41639F2893E44BDAC945471204D4F30E08D1A8F1D472E99E95FD2D92928B7466274724	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_50228511980EEA2C53851D949B7D46C7DC8F7F74A6F8EC880B1AD6B538A9FE2C24B3016700ACFBDB4D4E92D47AF8421C1047A23435EF23FEBD3D7F7D4661B5B397246055CE94BDC57166FFC603AB834C5F28E0187293BC9627390961B06C99E8717A1C3A22EDEEAC652C85B59865B53C4A8F76577F78EC5E8A642EF8B721218A08E35671			http://cloud.189.cn/t/Nve6FbFV3uU3 	1786		http://pan.baidu.com/s/1dE2kKed 	hdc3	
《美国人眼中最真实的越南战争》		http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_C24393F900EA7F9835E03DA5E030306D3B6D00589EEEEFE32DDF851872B5DD1AA32B1A6283BA22CD3698EBDCC3BBE7E299806952B29817B4407F6AEB4F1FD8A9FFA1E5B77D1D1C015538BC9C207E43819E9835EEDF021E681CE04C11BCE907E004BE404722E4373229192E999DD68FDBC3079051E60ADD18199BC9EA48AC8751422604DA	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_FA3B8191D99523A0B4EC0106AD6C61954F55616D621DF5A8D80A48116EA3554C0B112B6F3979AB8A7FD58822F6E5C2FFF15079AFE4954F38132C93CCF6F2A8DAD4BD9D36F077E37F08021E1BDABBC3DA1A372D4CA9C84E55FE0C551C6C7DD66159D579D423945A469DF4F500216741F244B60865AF3C24C4159A16E8D07FAEAA69A18467	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_B21716EFDF2BE256C4F60BA3B79BCBFAF0266FE8FBFBCE56BA80846A72337C7BA33BF4457D634A00E9E0D0C1BE8A841B648BB03D32A1D5F484EF225D2675A66CB17B01C6B469F524F0F6F82FC1AAC49CD29B7C2B2A6D14CB9BE446BEBB8E6265F6F53600DEA915307B09E33CB77E72DDDED02D5B362CFD8A23D756CC35BF647797C9F216			http://cloud.189.cn/t/MbQbaiAzyqu2 	3476		http://pan.baidu.com/s/1hs0YVQ0 	zfev	
《伦勃朗1642》		http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_1310E5AB0302B9ADFFEB097E2E7A21B06AED0FFE16F0E0220A5781C1F8364EDF81A88E1E38576EE59E90B49C7E90E66A76AAA31277DEF3725A34F009B4418C5CBCA1954F2A05009451CB6A86D860789A3263992EA9498F7A955EFF79F804C2B9B271F5AC829DD15E3A06E6F30E0CFB7D3308677D32F613AF40FACFDBAD63589C4CAC4F7F	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_67E33D63923007A7B673B39F7415B5806CDE5EF8D0698EA6A90D6019914844C7D826BAA2E22A5A2C9868E29D87A81CA58AC1A805083623E455952071DFFFCB754D5EDDAE5964AF5BBB495D64CFAEDBBB93E80011EA12B4F58A7E018BEAD81535AE39DE33CB102F90FFDB6E9BEB1F4A441257C5110AD34F40B880D652803D38AB24EFA855	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_D9B4F494E38CCF016793D5D4F2CE94DDF3683DF4520972A029FB625DDAA925367C0415CDBA131D77C7F35B06E789309EFC34BF1985E6FBC8A93BE9516CCE3244A611C9AF554E39BAC0B2DE8F7EAB673CD7856574F762A0FDC44BE4A69A7B9F4CE8062BC26A73F792855151BFC3B7D0CC4781157E8D1FCBE74F920F2A50DD63D7F706ED07			http://cloud.189.cn/t/yUruY3fyUbYr 	7198		http://pan.baidu.com/s/1miv1hjy 	jlli	
《谁在时间的彼岸》		http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_11BA4A95CA77F4098B8B813713C9B3675C9002EA9C89F38B1CAEABD0339DD51E8A24A6110380B4BFE619301A0BD426672AE2C2165AA69C18283EF150AF7E5BAFB4B8209F4BB5AEA631B4DC8B59F95B02FA5E93494F9F5B5E6BA6C34EA605167C486EEFDF9DB4C6C6BB946C6CB18D6BFEC6ADF0AB1257FE93A829034FC228D9A7179CB368	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_E9EA4696DA75BD82DD1887550E754F6972220D3ACFCC3F6027CBE01E69CB5747C77A815F427D533682FFDD571E48D049F8286D88DCABC67BAED3FC19DAD098ABEF9498CF7F25CC493BB230EEE1A16534AEAA2D348A7F2F7F6BCF9A866F71F8CA1EEE0FD0EC4C209694F265833A483F717F5067C44273FEBF7450BC4FF1FEEB1A696F7519	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_FB9DA4973C4A2D0AAE325B9C235801D0DA09AFF6E06C9D39AE8823C9C278842873213CF2BC4BCA0498955DA0BF99566DBAF445B32BCDDE75AD03E2902A8D2E90E0A1B85E8CD33BAB8A6C3DA310E0A0B44490EB9BCCE8977D625FF99A14E4DAB5F547E1D785A6CE111DA9F4973B5F507363D514E1DED7F48D9D5420B35393061FC79AF97C			http://cloud.189.cn/t/nayM3iQZJBR3 	1329		http://pan.baidu.com/s/1jIgCfmY 	ulqx	
《红色海洋》			http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_5A00B62C112746C494EE8DE320DDE7313B6E83A769BD1AB09F1FFADAD0AACBBFA1A01FAA31A9DDCFAE4F3853D779D1BF68493EEC2DACBDA669A59AFE37257F820D15D577680540DBCD6ED2ED7BA439C478BF54EBB5F9AFF0DF4503DF6074ABB4A7DCA892175E43DB51DA1D490F3FD6F3B115D9680BEA1A38ED09E771002CE2AC1E946900	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_EB1F8C464CF3D467764D746D15384CF993140402168661339E546B25521781082C2ACE92C27FEF487DA24831C90DD6A55BBC73A826D841AFB709B20BDDE897D0E1FBEA6A57E40A733A8257B5AEFF8E9976E10CDBE9D0D141249B7A202BCFF74FAB26A70E9FB815238C9E1824EA6C3BA48C15F9A42513888D0839666A4762ADE25FFFB59F			http://cloud.189.cn/t/iQz6FfbQBfUb	2770		http://pan.baidu.com/s/1boRrvER 	vy3i	
《黑色佣兵团》			http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_FF44CCCBEF1E314397D24721B9E1F69896FA3BDCAA91A4FE2CF7599DB6396EBCA31427EA1C909C974C01E19F5B5DF57D5BC8EA6F430A8C6939F13F709F9F553FF4778E200C6018B396552F56946AA34A4E8B0C5BB4851291869163C1FBB9DEDBC991485A8221D6BCD780D7A71C729E9B5FEA3B757F23355B34048069201799A513E19A76	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_628E01DE81064C249B6E8E775680D3B3B8871B8ACF1059F55F30F2AD141A381252F8EC2F53DE13D924927AC8E889476B706CA2EF705690FEA0301C3447A39D048C6F1B87E2477BAC0FB1125005DACF6FBE9DE205AC8AC0C6056DE4A1ABE22D7B9AF7BBCC84BB6D1A91B6F62AE5A64409E3A7249736F00A0F04DA9339CB94E09F5BD7F65F			http://cloud.189.cn/t/mMjQrmraYZNj 	7082		http://pan.baidu.com/s/1o8pXyoq 	7rny	
《尤利西斯》			http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_D6236CC28D61D0EE7D7898FC2718214DACC0DBF74871A1512E30DCCF89174D7AB46DBBB63392EDA095F90A251CBA3D31081F701DD56F050E1022C8CB2057FEF61A943B0D5F171A2D69A3025D85E26FD800F979BFDA4BCE0AED0F579BD7764728E0BAD3C2B2A498A7107817E3B1A6A2E7FF6FA18510EEC9D0A7C1CEA868FF189A802B7E07	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_93228D7D410126358502E2D9D0A6549621B779384F8218AE2E7BE0261374B96BE108CDCDC496EFFDEEECE69EDCE7A263E90901620F5F4D98F4E07D76769E79D6DE3BE8CBF6C597B85DBFE910110444966F90B365CFB84B2BFEDF6F549784B0C767C2C70255C5E8D97BBE306BDE30E89DAD83EABFA625447397D667D3C3E71AD01F08C55A			http://cloud.189.cn/t/yieuimZ3eeIv 	5812		http://pan.baidu.com/s/1dFCA0kL 	a3qr	
《唐朝好男人》			http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500450570582&sk=6065D28083473231C78F3884E226D7DC&ufi=4130311254392508&token=cloud16&sig=nZWB1OOPk0vkglg9J4a1QYj6DJM%3D	http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500450570574&sk=6065D28083473231C78F3884E226D7DC&ufi=7149821257560961&token=cloud16&sig=iON6BoQE1%2Fb%2F4P0vfe0U9alh8Rs%3D						http://pan.baidu.com/s/1boQIaRX 	u7lt	
《爱情和其他魔鬼》		http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_24833488033C85C140237BE64476A7ADC6842E1A7D45953F49CC370301845C4B7289D30AB33AA4FD6715624144A9F8C992009DAD8B1ED75B60CFF0106E92AD6B2D961368BECAF867598DAA6EDDD46CECCB5F10DA6A9C83900CB95031E4AD9407AF44138A438A7C4F96245B9DD36B8222CC214C10D3214EBD8F3D1731062BAA9F4E2E45A2	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_177CF6848B5790B164F10440545467B3D8FCCECE5626B3F82616315DA7B63BA811783D0EAE4B31AE354A1B0A876BF147AFA0A1D63C5F311F51685A7263D023418E7F15792CC32C58809BD2C14E660526BD31C1B0E16F433F005ABE1CB0A9038E1521ADF35DB6C2778C655C215A5EFEC5D9C1D52DEB884B8E0A5C74F815EBA684D3620094	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_CCDAF858D5B448A9B315270877274B6D9D775E86BF99C1D72C054137C1D692E4AEEDC4374C60E739B01F02B6FE5D5429D3A7A34697FE808A8DED73D3361C7EF9BE39DF130D2100EE5A1B25E41F0C5E5E21E86677EE9A36C1D425440685C5E24A250A954E23C92E3070A890D8FAA371F9BC491A030B78464A30A94F8949B4E6710415F9D6			http://cloud.189.cn/t/YfuIRvQ3eeAn	7428		http://pan.baidu.com/s/1i5G6cEL 	mia2	
《西风东土:两个世界的挫折》			http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_8914FFE832953C0C896D1586BC7040E085C93F8D6B5430C0FA160BB00A5A40E7ED02993220A4415ECA69F7141AE20181AF0AF27532D7845735645111A0D8F8C2D638D350ADB8054606C7D275CFA0C4CB56319F9DAD25460F39074D913CBF46D15E1B60FD69CDFFAA46F42706454B60336F9ECA2ECCA2B09BF251359A2FB74D9F0921EBD9	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_7CABE084AA3B60167D6559585AF8E2E8E7B3DF9320407FAB6A638EEC65A6996F4404B28E327E1010DBEE48F9CECD9C4B802F4D400A2C8A202517FFA0291FF986B945BBA32E65BF5EA8482CFB2E826BF45A2131F2429EF1CE35283546D896B390C30B60DBF4DC216B8538D03192CC6E4CBAA7E55DDD090566F1A0D119459D3E0A16A6879A			http://cloud.189.cn/t/ZNvE7fJ3Ejei 	9607		http://pan.baidu.com/s/1pLTla7x 	hhd4	
《异乡人四部曲（套装共4册）》		http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_A7962102FCD5407AD3FDA51A4292D3CD753D1BDBF3A5E9F94AE12CD4FEF1DF6866A409464FBF216BF24CCA450C449C4F1CB836517715045504395C193CC399EAA9912C432F7647F511645F76B4072D3D05CCDF9FFEB55B156A85799E1F3ECB98FFE6065E14A06425180B94AEA73777DCB7E5080680AB7350E6077A1915912BBF251DA1B2	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_690E0BB5C4186A86F62E971B0A08D4FBDBFA9C08A5D33E17C5063797B79367C9B3E33311FEF9534C79316A33BA89C3E9B7249BE3787BAC516D55254D6F40E773346A608A087971F0510D11104CE47A057C932C7FD4EF44B21039FD799759CB75F616CD9DE967EE3A5F02399FC0DC503FC25C6DF2CFAB9E061C7733A1FA11E0B67D97F6F8	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_3E8E66BE99107036E8BA96E28FEDDDD949508FA79A7C8B8CBF7F7235C831956538213D4027C4CB2747A3E3E0774550B5A8E0BE6D5F678B21A5A8A08EC09049A8723FE7AE998345F2093363DDC58FDE6FD18A0A51620946A46FE6F96F6ABA991983F4EE267AA78E87AB2F68D42DB88CC46DFD2A4264792FCF5059E93A8DE5A1C86C7249E7			http://cloud.189.cn/t/reeYNf7Z3mee 	2541		http://pan.baidu.com/s/1ciUviI 	jksx	
《写出我心:普通人如何通过写作表达自己》		http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_B5FA0318A80863B72E071B694043D4247CB2FC98027DC13ED4DB572F9F2C9038B9931F547C24ABCDBAF2F8EA7F74471E38229170F2A83DB66D34975372CE430B1FA75A9450EB4BA1E332172844B4BACCDE59FFF2CADAE92C16104FCE05E76EEEBF25CA8F1DDABCC4C4874AC275253E5CB5A8009330F56EDC7A4BF3E30B8052DB954CD63F	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_7348A74908425C851779E66FE9EB9099632E8E78606D874CF86B6A33CAC1AD83E459B5B8BD0763D9DBE1A4BEA49DBA160661FD18DB5E3BA8C7A24BDA57EAE34136657EF6171CF50824180175C46D5F44D1D6D304988909ED27965405AF20E98E0F0736377B9BDB6AF802ADF7C146201DE5573FA67FB71E33807F63D221B5F717AE6F1E24	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_2B3454457E8C72D71D807B31FB78AFF189B9CD4A0A17B4E56B54ED0B0E4F62DC1E6E2E8DED94C9172A7400D16F26F86237F571ED9B13A739E6258CE6A5E8EB7B9A50722B717E9A79DB8ACDFB74F6ED212A6D95E73F0EE4631532D4597C6C6503AAE5BD63B3C076D78ED4E6F0B0196C21520CFA374211C64CE8268BCE87C015C07CA86CBB			http://cloud.189.cn/t/BJzmmeE7BBni 	8419		http://pan.baidu.com/s/1skLzopn 	wl5m	
《商海谍影》			http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_294DC8835E7E212F2BC00E3C5A9CAA86A3267D2515CB7F75F45862E7B34A5D517D443C82808911D451182408A7EA1CBC3D1BF582613F581C12C422DCB20C073B595F166328A6A113975A1482C38312A3F6A71C1763B38BD79C90E05BFAF3C0BC2E95AB62D1E358FCE8AE93C0AB263A102537DDFB1DFC2CCC47E88C395009EFE46212DA8E	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_A767D69EECD65A3D56F5FEC7868A9C5D50D4C90A857ABB9F42D928FB25373481F06B5EB1DBADAFDD3A5E636461F71C976BB374C577130FA9917EC7D9D72BEDE6AB7266B28A35AD5155283328CF6E562CF87CC319664363D5B85579C5BD3E327BF3DAE5895F113BDA395B7D89CB20A504C87A567FC6D2ED828C7AD82E9E23679F12574196						http://pan.baidu.com/s/1i5lxYlv 	qhwi	
《时间旅行者的妻子（2016年新版）》		http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_28FDDF990240FF4C1E4D0C0266C522DD9DF901B2773958DD873DC8E1102842741803BCB2A8A5B3BEDAE64FFDA7912352EF580ED8D8953900B0B252F9CCE86662DBD83E20DF90040E4CC32EB18320004946E2E6C16ABD54352694293222F9D5529C08982BF2D8AB5324949186BD647BC1D7AAA14F31D5B646215C73898C5379906C02A83C	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_30731FF5B42DFAF307AF5C18B0C7F3B842567B00F006D8E7AE62FD8A4496052192AAEBF42D791DC388308EBA0F8568C692FE5D9CD4B0AF50CF5658602D2F9D5B6A71659FAC5DF652FD1F7B4307F074AE0B72BD7C6A7DAE0AD4FF3F6CBC8553D3ECC855B359D5E061DC66325178391090B6907DB868C40EACDFD58300AA809B39120B3173	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_5112751DB2114CAC956A228149FFF88D71FCEAFA422C42F42ED9474D39B216871F63F141442C1AFB180757CE28BFC6F8B39A4110FC0199D4111471FE58A17F12B47737879FD64C89ADD5D7EAEAABD5BB2A3B415BDCB5A68A504C2653193E8A53EE27E901425DFA7AC849154A0C48A8EEA76ABBB44AA0E7FAA7BB26232F0D3D1C3D7441F5						http://pan.baidu.com/s/1o834BxS 	ukyo	
《谁将主导世界货币？》										https://pan.baidu.com/s/1EbumIi12cPo-Zy0I-Pmdfg	ropr	
《成为和平饭店》		http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_FD93BD54EA85BFF86764C1042A10F4DF1E336A6862C607CA76F54E2C5131E3266BD7EA513CF2C04AEF93C19C48C3D24F713CB59B1496CC1A11697D4E9927143213FC38CA46B403CC52A83B8B3E10DEC197A1F14532DF2BC09ABECDCCFB1907581C5DEEB5C5E9EC0AF13CBB6944575A6D76335B7154B756606EAC9ECB5D8C081FA3C077F9	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_1E518DB34B89AAF05552FCE42DD9164B9599CE5DA9CE1BFA0F93224E57299E30F9102B83D12E53245177217B691F89D8161C4DB4B9F2573D3F3C38394CFAD34C8B5B8CC9EFA769C0E0A9AED8C2FF2A4C3E64693CB737ED1D19170195D9375BAC62BD54D91C62FB6E48226E34F22F250ACF443E8B8AF6C4658643468FFE54C89430A5F18E	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_8749471D8575DC9D277CF86EB435A9AAB65B7865B3CF0B5F5C35E5AE3EAC43B2A43E2CB91EB94F7444DDCEADA3579CF744D2EA560E23C0C0C93D0F2581519938254A7DC6A50104D20F9BD645AA75513F20D75C0FD486C3AB2E61E2EE543EFEC597C7A24116DFD47747880B354AEE2287DEDF2BF39739DEE5965DF2589C251696621D18B9						http://pan.baidu.com/s/1i5ypllz 	pmph	
《自深深处》		http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_BE176E3A15F06E9B3A6477643332F6A5F03B2A952A804D2B690E84D9E249CC806EB7C0FAE703EB49BB2C99C6796EC23D54305CC07B4D07C86A144F0D3B0617C2D19EECBE8BE7E615942E719C593D509CB7A08F6F9EFB0086428B6B72FF41D3EB1184BA3BCBCFFB60CB5D82CF263737148A82DA4CB3EFC0A9DB1AAF795FB3CDC52CD789A9	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_A6374A7B8E7B7743E0EDDC145E41824DFF7DCB086BAE981D4DE6FED2342BEAEC9482E3167391DE847C972D47748D1A92D28E1BD0BAC78033472512CC78A5218A1DE39C7BE98C2BB3D69DBDFE63CF915B1CB4D0CDFBD830BC7EC532412A3FA03CDC3CE5ACB6FFBC211D8D0BE9B81A3D34D97C00B3FEE8A892F83460CA2FEB0E09B3318D28	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_1020FF99232D35A9CCB3626FE256A579487FF188009046336D03B67382DCE39F2486E31715B5EEE6E282EFFD73533575C2A734BE07566A99BF5E628E9A5CDAE79F2FF2D70EBEEB8EE90A1119A8FFE1EAF92DDD4E90D13DF6B9494CB896266E9BBC962423EB948889522704242345DF88D40CEC922C18C1143D3AF1210011244689E7BE9E			http://cloud.189.cn/t/7Nr2mi2iyQbu 	6514		http://pan.baidu.com/s/1boSDoDL 	sged	
《亚森·罗宾探案全集》			http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_E80F4BA9AF7DC035D089B40C9665384F72CF357FFBB10786365532EC1D180DE255C519A49625E33D1B26B7BF57C130161A867159D25AE14214881A2BDB9A298B15CABD85F64562EF4D76B4196571791E9A21BC358FC4052CB0FF10E6F39E09E13BD7F2676EF19CD59E52538F00F568557DF37C692A9969EF195588054A4F9D7DEA105160	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_C9EB815E77CCDE3BE1C420E2706DD42E8DDA277BB08E846BB36D8ED50DC3998EC1B7EB9C6A80B3D7D7F59C32725C5023F62A3FAB0405B2E72D4C4EDDCE575180500B43CD6833D0EB50437725231E13B9484B959B49CD3EB995F7181AC678C0CF8536A952284306D78DFA5D6DDA99FA693E2CBDBBBA2F46FE0CF0CB9DB0D48EA20133C9D8			http://cloud.189.cn/t/7NBVJrUZvmeu 	1931		http://pan.baidu.com/s/1cuzCuU 	lpv4	
《黑暗的另一半》						https://page71.ctfile.com/dir/11851471-22976769-da8895/	http://cloud.189.cn/t/6NjqEz3I3Mna 	7655		http://pan.baidu.com/s/1pLDLyuZ 	91y5	
《中日之间：误解与错位》			http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_9D8C698BD2B1F016BA293DB1ADF776FFA8F509D6C05DCF9C9F32C7BA357E1E79E21D6A3CF284360BAEBECFA52DFF9A1D527A9FCEFB0963AEE41A16022FB37C0C38815EA6EBCB4DB940DC3732A2E3C9844E9CA6E7DDBBFE48EF427EA15FD45BCA06DCA07A0C735B917D660946D0FF7DA5E3D0934BDD7F6DCA381338CA5AF5EDD48752A331	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_4B1238DEB0974668AE13EDE10A365322844F4F3FA20AA511597CE86D51A59F5A84239EEE8D8E27BCBB151CDF2F472781C4578E5788FD42EE5E434460763302EC1421F090F38764E333418FA2E3F9DFB5EC05DB019A196BE96CFEF9715B93C07A8E9D7AEDA7E47D936EC109496CDBBB03B0CD35CB39EC1426FFDC232DB767369D7658206F			http://cloud.189.cn/t/3A7fMzIb6bqy 	9651		http://pan.baidu.com/s/1qYCocPm 	xq07	
